City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Mucurapo,TT,10.6667,-61.5333,76.24,91,100,8.79,light rain
233,Clifton,US,40.8584,-74.1638,54.82,81,0,13.8,clear sky
234,Alindao,CF,5.0267,21.2088,79.16,67,89,4.09,overcast clouds
235,Pevek,RU,69.7008,170.3133,-0.31,84,100,3.65,overcast clouds
236,Dzaoudzi,YT,-12.7887,45.2699,85.89,66,75,16.11,broken clouds
237,Alta Floresta,BR,-9.8756,-56.0861,69.76,99,100,3.31,overcast clouds
238,Gorin,RU,51.1983,136.6669,9.79,93,9,4.14,clear sky
239,Lecce,IT,40.2167,18.1667,48.67,100,20,5.75,few clouds
240,Karratha,AU,-20.7377,116.8463,91.0,39,7,18.01,clear sky
241,Zabid,YE,14.1951,43.3152,85.35,44,0,3.58,clear sky
242,Nouadhibou,MR,20.931,-17.0347,69.49,54,0,14.63,clear sky
243,Dongobesh,TZ,-4.0667,35.3833,68.65,56,91,7.07,overcast clouds
244,Yeppoon,AU,-23.1333,150.7333,83.98,73,100,9.22,overcast clouds
245,Dalbandin,PK,28.8947,64.4101,70.99,14,2,6.02,clear sky
246,Adrar,MR,20.5022,-10.0711,61.47,30,0,11.83,clear sky
247,Camana,PE,-16.6228,-72.7111,67.21,81,100,2.77,overcast clouds
248,Alexandria,EG,31.2156,29.9553,64.4,65,100,5.66,overcast clouds
249,Puerto Leguizamo,CO,-0.1934,-74.7819,70.54,99,100,1.83,overcast clouds
250,Laguna,US,38.421,-121.4238,54.09,76,0,8.05,clear sky
251,Hope,US,33.6671,-93.5916,53.65,93,4,3.2,clear sky
252,Taoudenni,ML,22.6783,-3.9836,61.68,23,45,11.63,scattered clouds
253,Aykhal,RU,66.0,111.5,-11.18,99,100,5.55,overcast clouds
254,Kirakira,SB,-10.4544,161.9205,81.91,79,98,8.03,heavy intensity rain
255,Nantucket,US,41.2835,-70.0995,57.34,91,0,23.02,clear sky
256,Kavaratti,IN,10.5669,72.642,81.54,69,29,6.58,scattered clouds
257,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.11,94,96,4.54,moderate rain
258,Flinders,AU,-34.5833,150.8552,69.19,75,33,4.0,scattered clouds
259,Tura,IN,25.5198,90.2201,77.65,39,0,2.33,clear sky
260,Ancud,CL,-41.8697,-73.8203,52.88,89,88,1.61,overcast clouds
261,Calama,CL,-22.4667,-68.9333,52.29,40,0,14.97,clear sky
262,Burnie,AU,-41.0667,145.9167,58.95,66,100,16.91,light rain
263,Mount Hagen,PG,-5.8581,144.2274,72.36,68,40,11.5,haze
264,Pitimbu,BR,-7.4706,-34.8086,75.79,81,62,7.9,broken clouds
265,Seminole,US,28.7086,-81.2081,72.05,82,75,8.05,broken clouds
266,Pouebo,NC,-20.4,164.5667,80.28,73,71,6.69,broken clouds
267,Payo,ID,-3.7508,103.6372,89.2,55,100,3.22,overcast clouds
268,Christchurch,NZ,-43.5333,172.6333,59.92,71,17,17.27,few clouds
269,Maebaru,JP,33.55,130.2,74.88,55,100,4.27,overcast clouds
270,Yarmouth,US,41.7057,-70.2286,56.98,93,0,13.8,clear sky
271,Baculin,PH,7.4525,126.5842,84.24,73,100,8.14,overcast clouds
272,Luau,AO,-10.7073,22.2247,64.17,96,100,1.3,overcast clouds
273,Moose Factory,CA,51.2585,-80.6094,23.0,93,100,4.61,overcast clouds
274,Mehamn,NO,71.0357,27.8492,30.11,93,72,6.67,broken clouds
275,Muroto,JP,33.2833,134.15,66.56,59,0,7.83,clear sky
276,Japura,ID,-0.3167,102.35,91.04,55,95,2.46,overcast clouds
277,Sale,MA,34.0389,-6.8166,56.75,100,40,0.0,mist
278,Kitimat,CA,54.0524,-128.6534,30.58,30,21,4.23,few clouds
279,Chupa,RU,66.27,33.0549,19.44,94,37,5.66,scattered clouds
280,Longyearbyen,SJ,78.2186,15.6401,33.64,69,0,2.3,clear sky
281,Clyde River,CA,70.4692,-68.5914,-14.57,70,0,9.22,clear sky
282,Seoul,KR,37.5683,126.9778,56.77,94,100,2.3,moderate rain
283,Lincolnton,US,35.4737,-81.2545,54.61,77,0,1.01,clear sky
284,Emba,KZ,48.8264,58.1442,24.15,36,100,18.45,overcast clouds
285,Sabha,LY,27.0377,14.4283,53.55,70,0,13.35,clear sky
286,Northam,GB,51.0333,-4.2167,45.25,83,99,12.53,light rain
287,Aksu,CN,41.1231,80.2644,30.34,20,0,9.42,clear sky
288,Samarai,PG,-10.6167,150.6667,84.4,71,92,9.44,overcast clouds
289,San Cristobal,VE,7.7669,-72.225,65.61,98,100,2.62,overcast clouds
290,Bheramara,BD,24.0232,88.9925,81.1,35,0,5.39,clear sky
291,Pemba,MZ,-12.974,40.5178,84.9,65,20,14.97,few clouds
292,Nadym,RU,65.5333,72.5167,-2.29,94,47,7.31,scattered clouds
293,Altay,CN,47.8667,88.1167,-3.89,76,0,1.81,clear sky
294,Saint-Georges,GD,12.0564,-61.7485,78.48,89,75,17.27,broken clouds
295,Kargil,IN,34.5667,76.1,28.33,32,0,1.77,clear sky
296,Batsfjord,NO,70.6345,29.7185,30.13,93,20,17.27,few clouds
297,Veisiejai,LT,54.1,23.7,30.07,97,100,4.29,overcast clouds
298,Cairns,AU,-16.9167,145.7667,81.1,84,40,3.44,light rain
299,Kalmunai,LK,7.4167,81.8167,83.84,63,62,8.57,broken clouds
300,Tilichiki,RU,60.4667,166.1,8.67,88,100,14.72,overcast clouds
